Playlist,Song,SongID,Artist,Acousticness,Danceability,Duration,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence
Trump,Ymca,7Cp69rNBwU0gaFT8zxExlE,Various Artists,0.152,0.715,284.867,0.951,0,6,0.302,-6.488,1,0.132,126.643,4,0.671
Trump,Tiny Dancer - Remastered,22yKImOSYkUpbnBGIUdtca,Elton John,0.429,0.412,375.867,0.437,0.000132,0,0.11,-10.65,1,0.027,145.521,4,0.241
Trump,Paradise City,6eN1f9KNmiWEhpE2RhQqB5,Guns N' Roses,0.0192,0.268,405.6,0.98,0.00709,11,0.182,-5.958,1,0.103,100.315,4,0.395
Trump,The Best - Edit,2W2ieVidLIx9TDvxu0ZT6F,Tina Turner,0.0341,0.68,253.593,0.701,0.00479,0,0.114,-10.46,1,0.0275,103.789,4,0.824
Trump,Eye of the Tiger,2KH16WveTQWT6KOG9Rg6e2,Various Artists,0.132,0.817,245.64,0.599,0.000311,0,0.0873,-9.249,0,0.0328,108.873,4,0.548
Trump,Play With Fire - Mono Version,30V02AmDYMRvrHE4L8cZAo,The Rolling Stones,0.178,0.578,133.32,0.429,6.01e-05,2,0.171,-9.601,1,0.0268,108.738,4,0.0889
Trump,Pinball Wizard,5hgOYSCfyq8riOkVX3CXVW,The Who,0.00614,0.53,182.64,0.628,0,11,0.118,-10.301,0,0.0354,123.505,4,0.456
Trump,Thunderstruck,57bgtoPSgt236HzfBOd8kj,AC/DC,0.000147,0.502,292.88,0.89,0.0117,4,0.217,-5.175,1,0.0364,133.52,4,0.259
Trump,My Way,3spdoTYpuCpmq19tuD0bOe,Frank Sinatra,0.7,0.401,276.8,0.381,0,2,0.122,-7.458,1,0.0274,75.454,4,0.229
Trump,You Ain't Seen Nothing Yet,1oojGBUxbMSrvrBnQ1DaBc,Bachman-Turner Overdrive,0.000538,0.467,234.053,0.508,0.00205,11,0.132,-13.048,0,0.0395,118.753,4,0.772
Trump,Uptown Girl,5zA8vzDGqPl2AzZkEYQGKh,Billy Joel,0.0755,0.701,197.707,0.944,0,4,0.601,-2.986,1,0.0455,128.993,4,0.792
Trump,Born to Run,6hTcuIQa0sxrrByu9wTD7s,Bruce Springsteen,0.00501,0.27,269.92,0.944,2.05e-05,4,0.116,-4.199,1,0.0975,146.347,4,0.606
Trump,"Rocket Man (I Think It's Going To Be A Long, Long Time)",3gdewACMIVMEWVbyb8O9sY,Elton John,0.432,0.601,281.613,0.532,6.25e-06,10,0.0925,-9.119,1,0.0286,136.571,4,0.341
Trump,Sympathy For The Devil - 50th Anniversary Edition,1Ud6moTC0KyXMq1Oxfien0,The Rolling Stones,0.518,0.702,378.147,0.668,0,9,0.0588,-9.237,1,0.214,116.063,4,0.561
Trump,Hey Jude - Remastered 2015,0aym2LBJBk9DAYuHHutrIl,The Beatles,0.0112,0.386,425.653,0.607,1.38e-05,10,0.088,-7.7,1,0.0261,147.207,4,0.532
Trump,I Want It That Way,6e40mgJiCid5HRAGrbpGA6,Backstreet Boys,0.216,0.689,213.6,0.702,0,6,0.159,-5.642,0,0.0261,99.031,4,0.484
Trump,"Die Walkure, Act III: Ride of the Valkyries",2e8MxBgVWMSQmxb2zcuCoq,Richard Wagner,0.929,0.251,325.0,0.219,0.933,7,0.0824,-16.781,1,0.0323,89.997,3,0.0965
Trump,Mystery Train,6nAHxzflxOxbtkVBGGXdLm,Neil Young,0.00617,0.589,167.2,0.789,0.00903,9,0.0908,-11.662,1,0.0431,114.447,4,0.709
Trump,"Say You, Say Me",17CPezzLWzvGfpZW6X8XT0,Lionel Richie,0.355,0.636,241.067,0.405,0,8,0.0804,-11.113,1,0.0287,128.068,4,0.257
Trump,Takin' Care Of Business,2OURxbygQXOwAMsAHHDooC,Bachman-Turner Overdrive,0.0782,0.734,285.613,0.794,3.01e-06,10,0.156,-12.107,1,0.0659,132.028,4,0.962
Trump,Purple Rain,54X78diSLoUDI3joC2bjMz,Prince,0.0353,0.367,520.787,0.452,0.00228,10,0.689,-10.422,1,0.0307,113.066,4,0.189
Trump,The Music Of The Night,5byUll2f3Zgnli3wJPoKRL,Andrew Lloyd Webber,0.844,0.169,342.027,0.0722,2.47e-05,1,0.114,-19.226,1,0.0393,46.168,4,0.113
Trump,Nessun Dorma,0lbWGFwNAgmggGDENSk7zz,Aretha Franklin,0.872,0.161,200.6,0.409,0.000679,8,0.705,-9.532,1,0.0335,80.348,4,0.129
Trump,High Hopes,1rqqCSm0Qe4I9rUvWncaom,Panic! At The Disco,0.193,0.579,190.947,0.904,0,5,0.064,-2.729,1,0.0618,82.014,4,0.681
